0, 0, 65, Blank001, text1, 0x00, 0x00
002, 36, 66, Blank002, text2, 0x00, 0x00
003, 37, 67, Blank003, text3, 0x00, 0x00
004, 38, 68, Blank004, text4, 0x00, 0x00
005, 39, 69, Blank005, text5, 0x00, 0x00
006, 40, 70, Blank006, text6, 0x00, 0x00
007, 41, 71, Blank007, text7, 0x00, 0x00
008, 42, 72, Blank008, text8, 0x00, 0x00
009, 43, 73, Blank009, text9, 0x00, 0x00
010, 44, 74, Blank010, text0, 0x00, 0x00
011, 35, 65, Blank011, text1, 0x00, 0x00
012, 36, 66, Blank012, text2, 0x00, 0x00
013, 37, 67, Blank013, text3, 0x00, 0x00
014, 38, 68, Blank014, text4, 0x00, 0x00
015, 39, 69, Blank015, text5, 0x00, 0x00
016, 40, 70, Blank016, text6, 0x00, 0x00
017, 41, 71, Blank017, text7, 0x00, 0x00
018, 42, 72, Blank018, text8, 0x00, 0x00
019, 43, 73, Blank019, text9, 0x00, 0x00
020, 44, 74, Blank020, text0, 0x00, 0x00
021, 35, 65, Blank021, text1, 0x00, 0x00
022, 36, 66, Blank022, text2, 0x00, 0x00
023, 37, 67, Blank023, text3, 0x00, 0x00
024, 38, 68, Blank024, text4, 0x00, 0x00
025, 39, 69, Blank025, text5, 0x00, 0x00
026, 40, 70, Blank026, text6, 0x00, 0x00
027, 41, 71, Blank027, text7, 0x00, 0x00
028, 42, 72, Blank028, text8, 0x00, 0x00
029, 43, 73, Blank029, text9, 0x00, 0x00
030, 44, 74, Blank030, text0, 0x00, 0x00
031, 35, 65, Blank031, text1, 0x00, 0x00
032, 36, 66, Blank032, text2, 0x00, 0x00
033, 37, 67, Blank033, text3, 0x00, 0x00
034, 38, 68, Blank034, text4, 0x00, 0x00
035, 39, 69, Blank035, text5, 0x00, 0x00
036, 40, 70, Blank036, text6, 0x00, 0x00
037, 41, 71, Blank037, text7, 0x00, 0x00
038, 42, 72, Blank038, text8, 0x00, 0x00
039, 43, 73, Blank039, text9, 0x00, 0x00
030, 44, 74, Blank040, text0, 0x00, 0x00
041, 35, 65, Blank041, text1, 0x00, 0x00
042, 36, 66, Blank042, text2, 0x00, 0x00
043, 37, 67, Blank043, text3, 0x00, 0x00
044, 38, 68, Blank044, text4, 0x00, 0x00
045, 39, 69, Blank045, text5, 0x00, 0x00
046, 40, 70, Blank046, text6, 0x00, 0x00
047, 41, 71, Blank047, text7, 0x00, 0x00
048, 42, 72, Blank048, text8, 0x00, 0x00
049, 43, 73, Blank049, text9, 0x00, 0x00
050, 44, 74, Blank050, text0, 0x00, 0x00
051, 35, 65, Blank051, text1, 0x00, 0x00
052, 36, 66, Blank052, text2, 0x00, 0x00
053, 37, 67, Blank053, text3, 0x00, 0x00
054, 38, 68, Blank054, text4, 0x00, 0x00
055, 39, 69, Blank055, text5, 0x00, 0x00
056, 40, 70, Blank056, text6, 0x00, 0x00
057, 41, 71, Blank057, text7, 0x00, 0x00
058, 42, 72, Blank058, text8, 0x00, 0x00
059, 43, 73, Blank059, text9, 0x00, 0x00
060, 44, 74, Blank060, text0, 0x00, 0x00
061, 35, 65, Blank061, text1, 0x00, 0x00
062, 36, 66, Blank062, text2, 0x00, 0x00
063, 37, 67, Blank063, text3, 0x00, 0x00
064, 38, 68, Blank064, text4, 0x00, 0x00
065, 39, 69, Blank065, text5, 0x00, 0x00
066, 40, 70, Blank066, text6, 0x00, 0x00
067, 41, 71, Blank067, text7, 0x00, 0x00
068, 42, 72, Blank068, text8, 0x00, 0x00
069, 43, 73, Blank069, text9, 0x00, 0x00
070, 44, 74, Blank070, text0, 0x00, 0x00
071, 35, 65, Blank071, text1, 0x00, 0x00
072, 36, 66, Blank072, text2, 0x00, 0x00
073, 37, 67, Blank073, text3, 0x00, 0x00
074, 38, 68, Blank074, text4, 0x00, 0x00
075, 39, 69, Blank075, text5, 0x00, 0x00
076, 40, 70, Blank076, text6, 0x00, 0x00
077, 41, 71, Blank077, text7, 0x00, 0x00
078, 42, 72, Blank078, text8, 0x00, 0x00
079, 43, 73, Blank079, text9, 0x00, 0x00
080, 44, 74, Blank080, text0, 0x00, 0x00
081, 35, 65, Blank081, text1, 0x00, 0x00
082, 36, 66, Blank082, text2, 0x00, 0x00
083, 37, 67, Blank083, text3, 0x00, 0x00
084, 38, 68, Blank084, text4, 0x00, 0x00
085, 39, 69, Blank085, text5, 0x00, 0x00
086, 40, 70, Blank086, text6, 0x00, 0x00
087, 41, 71, Blank087, text7, 0x00, 0x00
088, 42, 72, Blank088, text8, 0x00, 0x00
089, 43, 73, Blank089, text9, 0x00, 0x00
090, 44, 74, Blank090, text0, 0x00, 0x00
091, 35, 65, Blank091, text1, 0x00, 0x00
092, 36, 66, Blank092, text2, 0x00, 0x00
093, 37, 67, Blank093, text3, 0x00, 0x00
094, 38, 68, Blank094, text4, 0x00, 0x00
095, 39, 69, Blank095, text5, 0x00, 0x00
096, 40, 70, Blank096, text6, 0x00, 0x00
097, 41, 71, Blank097, text7, 0x00, 0x00
098, 42, 72, Blank098, text8, 0x00, 0x00
099, 43, 73, Blank099, text9, 0x00, 0x00
100, 44, 74, Blank100, text0, 0x00, 0x00
101, 35, 65, Blank101, text1, 0x00, 0x00
102, 36, 66, Blank102, text2, 0x00, 0x00
103, 37, 67, Blank103, text3, 0x00, 0x00
104, 38, 68, Blank104, text4, 0x00, 0x00
105, 39, 69, Blank105, text5, 0x00, 0x00
106, 40, 70, Blank106, text6, 0x00, 0x00
107, 41, 71, Blank107, text7, 0x00, 0x00
108, 42, 72, Blank108, text8, 0x00, 0x00
109, 43, 73, Blank109, text9, 0x00, 0x00
110, 44, 74, Blank110, text0, 0x00, 0x00
111, 35, 65, Blank111, text1, 0x00, 0x00
112, 36, 66, Blank112, text2, 0x00, 0x00
113, 37, 67, Blank113, text3, 0x00, 0x00
114, 38, 68, Blank114, text4, 0x00, 0x00
115, 39, 69, Blank115, text5, 0x00, 0x00
116, 40, 70, Blank116, text6, 0x00, 0x00
117, 41, 71, Blank117, text7, 0x00, 0x00
118, 42, 72, Blank118, text8, 0x00, 0x00
119, 43, 73, Blank119, text9, 0x00, 0x00
120, 44, 74, Blank120, text0, 0x00, 0x00
121, 35, 65, Blank121, text1, 0x00, 0x00
122, 36, 66, Blank122, text2, 0x00, 0x00
123, 37, 67, Blank123, text3, 0x00, 0x00
124, 38, 68, Blank124, text4, 0x00, 0x00
125, 39, 69, Blank125, text5, 0x00, 0x00
126, 40, 70, Blank126, text6, 0x00, 0x00
127, 41, 71, Blank127, text7, 0x00, 0x00
